"","project","language","article","access","agent","granularity","date","views"
"308","wikipedia","en","Kashmir_conflict","all-access","all-agents","daily",2016-05-03,1846
"309","wikipedia","en","Kashmir_conflict","all-access","all-agents","daily",2016-05-04,1814
"310","wikipedia","en","Kashmir_conflict","all-access","all-agents","daily",2016-05-05,1874
"311","wikipedia","en","Kashmir_conflict","all-access","all-agents","daily",2016-05-06,1815
"312","wikipedia","en","Kashmir_conflict","all-access","all-agents","daily",2016-05-07,1467
"313","wikipedia","en","Kashmir_conflict","all-access","all-agents","daily",2016-05-08,1512
"314","wikipedia","en","Kashmir_conflict","all-access","all-agents","daily",2016-05-09,1862
"315","wikipedia","en","Kashmir_conflict","all-access","all-agents","daily",2016-05-10,1826
"316","wikipedia","en","Kashmir_conflict","all-access","all-agents","daily",2016-05-11,1772
"317","wikipedia","en","Kashmir_conflict","all-access","all-agents","daily",2016-05-12,1749
"318","wikipedia","en","Kashmir_conflict","all-access","all-agents","daily",2016-05-13,1463
"319","wikipedia","en","Kashmir_conflict","all-access","all-agents","daily",2016-05-14,1160
"320","wikipedia","en","Kashmir_conflict","all-access","all-agents","daily",2016-05-15,1309
"321","wikipedia","en","Kashmir_conflict","all-access","all-agents","daily",2016-05-16,2603
